"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"6768",0,2.00762238818789,0.609,0.145,0,"14","HAPLN2"
"6769",0,2.26692340458608,0.99,0.528,0,"14","PDE1C"
"6770",0,2.37456635914848,0.551,0.09,0,"14","KCNJ2"
"6771",0,3.12135217793858,0.563,0.102,0,"14","LINC01877"
"6772",0,2.09884419012204,0.589,0.132,0,"14","OPALIN"
"6773",0,2.30700160141673,0.641,0.186,0,"14","AC012158.1"
"6774",0,2.34620778404973,0.995,0.54,0,"14","GAB1"
"6775",0,2.61342647499583,0.999,0.546,0,"14","TMTC2"
"6776",0,2.12353837355892,0.966,0.514,0,"14","AGPAT4"
"6777",0,2.39728868934016,0.568,0.119,0,"14","EPCAM-DT"
"6778",0,2.44454875894979,0.923,0.478,0,"14","ZDHHC20"
"6779",0,2.07294321863208,0.64,0.197,0,"14","MOSPD2"
"6780",0,3.36075753958345,0.492,0.051,0,"14","ADAMTS18"
"6781",0,2.11935770471886,0.564,0.123,0,"14","MKRN3"
"6782",0,2.23948442879316,0.515,0.075,0,"14","HSPA2"
"6783",0,2.10293842140127,0.532,0.093,0,"14","SOX10"
"6784",0,2.28090294619503,0.619,0.182,0,"14","LINC01135"
"6785",0,2.06839776580798,0.988,0.552,0,"14","ALCAM"
"6786",0,2.0567639478459,0.998,0.563,0,"14","SPOCK3"
"6787",0,2.4977925152753,1,0.565,0,"14","PIP4K2A"
"6788",0,2.98161253157629,0.47,0.036,0,"14","KLK6"
"6789",0,2.16844934865798,0.997,0.565,0,"14","PDE8A"
"6790",0,2.08133055830547,0.731,0.299,0,"14","AC006059.1"
"6791",0,2.0830398257716,0.592,0.161,0,"14","TJAP1"
"6792",0,2.68598238276824,0.471,0.052,0,"14","AC092958.1"
"6793",0,2.18885991396143,0.648,0.231,0,"14","GREB1L"
"6794",0,2.57815393884351,0.999,0.586,0,"14","DPYD"
"6795",0,3.07158558115649,1,0.592,0,"14","CTNNA3"
"6796",0,2.09807261813748,0.994,0.587,0,"14","SH3GL3"
"6797",0,2.46237011273509,0.483,0.076,0,"14","AC016821.1"
"6798",0,2.61158235462084,0.448,0.044,0,"14","ADAMTS4"
"6799",0,2.72137402568264,0.549,0.145,0,"14","AC063944.1"
"6800",0,3.00020218414963,0.438,0.036,0,"14","AC098679.5"
"6801",0,2.87553125285485,0.998,0.596,0,"14","MAN2A1"
"6802",0,2.22939791140689,0.558,0.157,0,"14","AL139383.1"
"6803",0,2.54167521068167,0.451,0.056,0,"14","LDLRAP1"
"6804",0,2.49800386976054,0.999,0.604,0,"14","EDIL3"
"6805",0,2.1365240576091,0.52,0.127,0,"14","TBC1D2"
"6806",0,2.42154267442107,0.999,0.606,0,"14","SHTN1"
"6807",0,2.32930277261894,0.461,0.069,0,"14","VWA1"
"6808",0,2.04476133851859,0.983,0.592,0,"14","MAP4K5"
"6809",0,2.0262906842013,0.544,0.154,0,"14","PTP4A2"
"6810",0,2.00129575066321,0.56,0.174,0,"14","ST3GAL4"
"6811",0,2.11000248761934,0.451,0.065,0,"14","TMC6"
"6812",0,2.15068921921063,0.496,0.111,0,"14","PACC1"
"6813",0,2.4640087591794,0.435,0.051,0,"14","AL591895.1"
"6814",0,2.59706282830305,1,0.617,0,"14","MBP"
"6815",0,2.85589628863127,0.416,0.036,0,"14","CMTM5"
"6816",0,2.20295952406004,0.69,0.31,0,"14","MMADHC-DT"
"6817",0,2.6540051838691,0.472,0.093,0,"14","AC066613.2"
"6818",0,2.27404709019353,0.999,0.621,0,"14","PHLPP1"
"6819",0,2.5271795789843,0.509,0.133,0,"14","AL354809.1"
"6820",0,3.09176787625807,0.446,0.071,0,"14","FRK"
"6821",0,2.05841188603422,0.487,0.112,0,"14","SHC4"
"6822",0,2.26418572107188,0.993,0.622,0,"14","FUT8"
"6823",0,2.45204788235889,0.999,0.634,0,"14","PLCL1"
"6824",0,2.28333891687963,0.428,0.064,0,"14","BOK"
"6825",0,4.37634135106123,0.386,0.023,0,"14","LINC01445"
"6826",0,2.23571456314905,0.498,0.135,0,"14","AC108108.1"
"6827",0,3.25482647867314,0.388,0.026,0,"14","SLC45A3"
"6828",0,2.25029263065129,0.998,0.636,0,"14","FRYL"
"6829",0,3.01924191683281,0.411,0.051,0,"14","AC079594.2"
